fiber	
12	35.21
12.01	35.16
12	35.08
12	34.92
12	34.92
12.01	34.81
12.02	34.75
12.03	34.69
12.09	34.55
12.09	34.51
12.11	34.42
12.12	34.33
12.1	34.27
12.11	34.15
12.11	34.09
12.08	34.03
12.1	33.91
12.1	33.87
12.11	33.78
12.11	33.66
12.11	33.62
12.12	33.5
12.1	33.42
12.1	33.36
12.07	33.24
12.06	33.2
12.04	33.09
12.04	33
12.04	32.94
12.06	32.81
12.06	32.74
12.06	32.67
12.05	32.56
12.01	32.53
11.99	32.42
12.04	32.33
12.04	32.28
12.05	32.16
12.04	32.09
12.04	32.02
12.05	31.9
12.04	31.86
12.05	31.76
12.07	31.66
12.04	31.6
12.03	31.49
12.02	31.42
12.03	31.35
12.03	31.24
12.05	31.19
12.08	31.1
12.09	31.02
12.12	30.96
12.15	30.85
12.15	30.8
12.14	30.71
12.15	30.6
12.15	30.54
12.17	30.45
12.19	30.37
12.21	30.31
12.22	30.2
12.21	30.13
12.23	30.05
12.24	29.92
12.23	29.89
12.23	29.78
12.25	29.71
12.27	29.64
12.31	29.53
12.32	29.45
12.35	29.39
12.37	29.28
12.35	29.23
12.37	29.13
12.39	29.05
12.39	28.99
12.39	28.86
12.41	28.82
12.42	28.74
12.43	28.64
12.45	28.6
12.46	28.48
12.48	28.4
12.48	28.33
12.49	28.23
12.51	28.17
12.51	28.08
12.54	28.01
12.54	27.95
12.55	27.82
12.59	27.76
12.59	27.7
12.59	27.56
12.6	27.53
12.58	27.42
12.6	27.35
12.6	27.3
12.6	27.18
12.62	27.11
12.63	27.05
12.64	26.93
12.64	26.9
12.66	26.79
12.7	26.71
12.71	26.66
12.67	26.52
12.69	26.46
12.68	26.39
12.7	26.28
12.7	26.26
12.7	26.13
12.73	26.05
12.73	26.01
12.77	25.88
12.78	25.83
12.8	25.76
12.77	25.64
12.72	25.58
12.64	25.47
12.62	25.37
12.62	25.34
12.64	25.21
12.65	25.15
12.68	25.1
12.71	24.98
12.72	24.94
12.74	24.84
12.75	24.76
12.76	24.72
12.78	24.58
12.77	24.52
12.78	24.46
12.78	24.33
12.79	24.32
12.82	24.2
12.83	24.13
12.84	24.09
12.87	23.95
12.87	23.88
12.86	23.82
12.82	23.7
12.82	23.69
12.81	23.56
12.82	23.47
12.83	23.43
12.85	23.29
12.86	23.24
12.87	23.17
12.89	23.06
12.89	23.03
12.91	22.91
12.92	22.83
12.93	22.8
12.97	22.68
12.99	22.63
13.01	22.55
13.03	22.44
13.05	22.39
13.06	22.29
13.06	22.2
13.07	22.18
13.09	22.06
13.11	22.01
13.14	21.94
13.18	21.82
13.2	21.81
13.25	21.68
13.29	21.62
13.31	21.58
13.37	21.46
13.41	21.44
13.46	21.37
13.45	21.24
13.55	21.26
13.54	21.11
13.58	21.08
13.64	21.04
13.64	20.88
13.71	20.89
13.75	20.79
13.81	20.69
13.86	20.71
13.9	20.57
13.95	20.52
13.96	20.49
14.03	20.35
14.07	20.36
14.1	20.26
14.28	20.22
14.28	20.22
14.44	20.15
14.49	20.12
14.51	20.11
14.64	19.99
14.64	20.01
14.69	19.9
14.76	19.83
14.74	19.85
14.84	19.72
14.86	19.71
14.87	19.65
14.99	19.53
15	19.55
15.1	19.52
15.24	19.49
15.23	19.49
15.34	19.4
15.36	19.37
15.35	19.33
15.47	19.2
15.43	19.24
15.51	19.14
15.62	19.06
15.58	19.09
15.71	18.98
15.71	18.99
15.72	18.95
15.85	18.85
15.82	18.89
15.85	18.79
15.91	18.68
15.87	18.71
15.99	18.58
16	18.57
16	18.57
16.12	18.45
16.09	18.48
16.13	18.4
16.24	18.4
16.18	18.39
16.34	18.37
16.34	18.37
16.31	18.32
16.48	18.32
16.45	18.32
16.52	18.29
16.63	18.25
16.55	18.24
16.72	18.2
16.76	18.21
16.71	18.17
16.92	18.22
16.84	18.18
16.94	18.17
17.03	18.23
16.93	18.13
17.1	18.21
17.16	18.25
17.09	18.2
17.3	18.25
17.18	18.24
17.28	18.26
17.4	18.19
17.29	18.21
17.45	18.26
17.42	18.19
17.39	18.25
17.54	18.26
17.41	18.26
17.52	18.29
17.57	18.3
17.43	18.28
17.58	18.3
17.54	18.26
17.53	18.27
17.65	18.22
17.51	18.07
17.58	18.12
17.68	18.11
17.53	18.08
17.71	18.1
17.65	18.12
17.63	18.12
17.77	18.14
17.67	18.09
17.71	18.15
